speaker,cg,generation,sampler,sampled_w_idx,selected_u,listener_belief,speaker_belief,location_pref,name,school/company,major,w_idx,cg_listener_prob,cg_speaker_prob
n/a,approx,0,difference,-1,undefined,0.25,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.25,0.25
n/a,approx,0,difference,-1,undefined,0.25,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.25,0.25
n/a,approx,0,difference,-1,undefined,0.25,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.25,0.25
n/a,approx,0,difference,-1,undefined,0.25,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.25,0.25
in get diff dist
a,approx,1,difference,3,They study a science,0.25,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.23809523809523808,0.23809523809523808
a,approx,1,difference,3,They study a science,0.25,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.23809523809523808,0.23809523809523808
a,approx,1,difference,3,They study a science,0.25,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.2619047619047619,0.2619047619047619
a,approx,1,difference,3,They study a science,0.25,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.2619047619047619,0.2619047619047619
in get diff dist
b,approx,2,difference,0,They study a humanity,0.7692307692307693,0.25,outdoor,Nancy,University of New Orleans,German,0,0.3499278499278499,0.28174603174603174
b,approx,2,difference,0,They study a humanity,0.07692307692307693,0.25,indoor,Sally,University of New Orleans,German,1,0.21356421356421357,0.28174603174603174
b,approx,2,difference,0,They study a humanity,0.07692307692307693,0.25,outdoor,Katie,University of New Orleans,Astronomy,2,0.21825396825396826,0.21825396825396828
b,approx,2,difference,0,They study a humanity,0.07692307692307693,0.25,indoor,Ina,University of New Orleans,Astronomy,3,0.21825396825396826,0.21825396825396828
in get diff dist
a,approx,3,difference,0,They study a humanity,0.25,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.31812169312169314,0.39957408062785504
a,approx,3,difference,0,They study a humanity,0.25,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.31812169312169314,0.23666930561553126
a,approx,3,difference,0,They study a humanity,0.25,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.18187830687830692,0.1818783068783069
a,approx,3,difference,0,They study a humanity,0.25,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.18187830687830692,0.1818783068783069
in get diff dist
b,approx,4,difference,3,They study a science,0.7692307692307693,0.25,outdoor,Nancy,University of New Orleans,German,0,0.3329784005232125,0.26510141093474426
b,approx,4,difference,3,They study a science,0.07692307692307693,0.25,indoor,Sally,University of New Orleans,German,1,0.19722442134627602,0.26510141093474426
b,approx,4,difference,3,They study a science,0.07692307692307693,0.25,outdoor,Katie,University of New Orleans,Astronomy,2,0.23970438187647225,0.2348985890652557
b,approx,4,difference,3,They study a science,0.07692307692307693,0.25,indoor,Ina,University of New Orleans,Astronomy,3,0.23009279625403922,0.2348985890652557
in get diff dist
a,approx,5,difference,1,They like being indoors,0.25,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.22091784244562024,0.2774820004360104
a,approx,5,difference,1,They like being indoors,0.25,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.3062691151217684,0.24315885703741927
a,approx,5,difference,1,They like being indoors,0.25,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.19574882422104642,0.19975365156372688
a,approx,5,difference,1,They like being indoors,0.25,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.27706421821156496,0.27960549096284343
in get diff dist
b,approx,6,difference,2,They like being outdoors,0.7692307692307693,0.25,outdoor,Nancy,University of New Orleans,German,0,0.3831911400147766,0.2741385020110662
b,approx,6,difference,2,They like being outdoors,0.07692307692307693,0.25,indoor,Sally,University of New Orleans,German,1,0.20263238086451607,0.2552242626014737
b,approx,6,difference,2,They like being outdoors,0.07692307692307693,0.25,outdoor,Katie,University of New Orleans,Astronomy,2,0.1811719033183378,0.23975038687782269
b,approx,6,difference,2,They like being outdoors,0.07692307692307693,0.25,indoor,Ina,University of New Orleans,Astronomy,3,0.23300457580236952,0.23088684850963745
in get diff dist
a,approx,7,difference,1,They like being indoors,0.25,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.22844875167588846,0.31932595001231384
a,approx,7,difference,1,They like being indoors,0.25,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.2979596609809054,0.2518855171539373
a,approx,7,difference,1,They like being indoors,0.25,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.1997919890648522,0.15097658609861483
a,approx,7,difference,1,They like being indoors,0.25,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.2737995982783539,0.27781194673513404
in get diff dist
b,approx,8,difference,2,They like being outdoors,0.7692307692307693,0.25,outdoor,Nancy,University of New Orleans,German,0,0.41910181196843055,0.28092701248100893
b,approx,8,difference,2,They like being outdoors,0.07692307692307693,0.25,indoor,Sally,University of New Orleans,German,1,0.2099045976282811,0.24829971748408786
b,approx,8,difference,2,They like being outdoors,0.07692307692307693,0.25,outdoor,Katie,University of New Orleans,Astronomy,2,0.1394836347906767,0.24260693813627499
b,approx,8,difference,2,They like being outdoors,0.07692307692307693,0.25,indoor,Ina,University of New Orleans,Astronomy,3,0.2315099556126117,0.22816633189862823
undefined
