speaker,cg,generation,sampler,sampled_w_idx,selected_u,listener_belief,speaker_belief,location_pref,name,school/company,major,w_idx,cg_listener_prob,cg_speaker_prob
n/a,approx,0,difference,-1,undefined,0.07692307692307693,0.3684210526315789,outdoor,Nancy,University of New Orleans,German,0,0.25,0.25
n/a,approx,0,difference,-1,undefined,0.07692307692307693,0.05263157894736842,indoor,Sally,University of New Orleans,German,1,0.25,0.25
n/a,approx,0,difference,-1,undefined,0.7692307692307693,0.5263157894736842,outdoor,Katie,University of New Orleans,Astronomy,2,0.25,0.25
n/a,approx,0,difference,-1,undefined,0.07692307692307693,0.05263157894736842,indoor,Ina,University of New Orleans,Astronomy,3,0.25,0.25
in get diff dist
a,approx,1,difference,0,They study a humanity,0.08333333333333334,0.3684210526315789,outdoor,Nancy,University of New Orleans,German,0,0.2619047619047619,0.2619047619047619
a,approx,1,difference,0,They study a humanity,0.08333333333333334,0.05263157894736842,indoor,Sally,University of New Orleans,German,1,0.2619047619047619,0.2619047619047619
a,approx,1,difference,0,They study a humanity,0.7575757575757576,0.5263157894736842,outdoor,Katie,University of New Orleans,Astronomy,2,0.23809523809523808,0.23809523809523808
a,approx,1,difference,0,They study a humanity,0.07575757575757576,0.05263157894736842,indoor,Ina,University of New Orleans,Astronomy,3,0.23809523809523808,0.23809523809523808
in get diff dist
b,approx,2,difference,2,They study a science,0.36458333333333337,0.08333333333333334,outdoor,Nancy,University of New Orleans,German,0,0.21825396825396828,0.21825396825396828
b,approx,2,difference,2,They study a science,0.052083333333333336,0.08333333333333334,indoor,Sally,University of New Orleans,German,1,0.21825396825396828,0.21825396825396828
b,approx,2,difference,2,They study a science,0.5303030303030303,0.7575757575757576,outdoor,Katie,University of New Orleans,Astronomy,2,0.3499278499278499,0.28174603174603174
b,approx,2,difference,2,They study a science,0.053030303030303025,0.07575757575757576,indoor,Ina,University of New Orleans,Astronomy,3,0.21356421356421357,0.28174603174603174
in get diff dist
a,approx,3,difference,0,They study a humanity,0.1527777777777778,0.36458333333333337,outdoor,Nancy,University of New Orleans,German,0,0.26521164021164023,0.2695574362824659
a,approx,3,difference,0,They study a humanity,0.1527777777777778,0.052083333333333336,indoor,Sally,University of New Orleans,German,1,0.26521164021164023,0.26086584414081454
a,approx,3,difference,0,They study a humanity,0.6313131313131314,0.5303030303030303,outdoor,Katie,University of New Orleans,Astronomy,2,0.2347883597883598,0.2916065416065416
a,approx,3,difference,0,They study a humanity,0.06313131313131314,0.053030303030303025,indoor,Ina,University of New Orleans,Astronomy,3,0.2347883597883598,0.17797017797017797
in get diff dist
b,approx,4,difference,2,They study a science,0.3038194444444445,0.1527777777777778,outdoor,Nancy,University of New Orleans,German,0,0.22463119690205494,0.22100970017636687
b,approx,4,difference,2,They study a science,0.04340277777777778,0.1527777777777778,indoor,Sally,University of New Orleans,German,1,0.21738820345067877,0.22100970017636687
b,approx,4,difference,2,They study a science,0.5947101214972216,0.6313131313131314,outdoor,Katie,University of New Orleans,Astronomy,2,0.3957963809168143,0.27899029982363316
