speaker,cg,generation,sampler,sampled_w_idx,selected_u,listener_belief,speaker_belief,location_pref,name,school/company,major,w_idx,cg_listener_prob,cg_speaker_prob
n/a,approx,0,difference,-1,undefined,0.07692307692307693,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.25,0.25
n/a,approx,0,difference,-1,undefined,0.07692307692307693,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.25,0.25
n/a,approx,0,difference,-1,undefined,0.7692307692307693,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.25,0.25
n/a,approx,0,difference,-1,undefined,0.07692307692307693,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.25,0.25
in get diff dist
a,approx,1,difference,0,They study a humanity,0.08333333333333334,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.2619047619047619,0.2619047619047619
a,approx,1,difference,0,They study a humanity,0.08333333333333334,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.2619047619047619,0.2619047619047619
a,approx,1,difference,0,They study a humanity,0.7575757575757576,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.23809523809523808,0.23809523809523808
a,approx,1,difference,0,They study a humanity,0.07575757575757576,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.23809523809523808,0.23809523809523808
in get diff dist
b,approx,2,difference,2,They study a science,0.7575757575757576,0.08333333333333334,outdoor,Nancy,University of New Orleans,German,0,0.21825396825396828,0.21825396825396828
b,approx,2,difference,2,They study a science,0.07575757575757576,0.08333333333333334,indoor,Sally,University of New Orleans,German,1,0.21825396825396828,0.21825396825396828
b,approx,2,difference,2,They study a science,0.08333333333333334,0.7575757575757576,outdoor,Katie,University of New Orleans,Astronomy,2,0.28174603174603174,0.28174603174603174
b,approx,2,difference,2,They study a science,0.08333333333333334,0.07575757575757576,indoor,Ina,University of New Orleans,Astronomy,3,0.28174603174603174,0.28174603174603174
in get diff dist
a,approx,3,difference,2,They like being outdoors,0.08449489145581952,0.7575757575757576,outdoor,Nancy,University of New Orleans,German,0,0.19692875388968192,0.25045160512907344
a,approx,3,difference,2,They like being outdoors,0.06944444444444446,0.07575757575757576,indoor,Sally,University of New Orleans,German,1,0.1818783068783069,0.1818783068783069
a,approx,3,difference,2,They like being outdoors,0.782929350968423,0.08333333333333334,outdoor,Katie,University of New Orleans,Astronomy,2,0.3864045794436513,0.3328817282042599
a,approx,3,difference,2,They like being outdoors,0.06313131313131314,0.08333333333333334,indoor,Ina,University of New Orleans,Astronomy,3,0.23478835978835974,0.23478835978835974
in get diff dist
b,approx,4,difference,3,They like being indoors,0.6313131313131313,0.08449489145581952,outdoor,Nancy,University of New Orleans,German,0,0.20870967094089454,0.16410729490806833
b,approx,4,difference,3,They like being indoors,0.13829022924021464,0.06944444444444446,indoor,Sally,University of New Orleans,German,1,0.22672417184082394,0.21676285232943765
b,approx,4,difference,3,They like being indoors,0.06944444444444446,0.782929350968423,outdoor,Katie,University of New Orleans,Astronomy,2,0.27740144017021656,0.32200381620304286
b,approx,4,difference,3,They like being indoors,0.16095219500220964,0.06313131313131314,indoor,Ina,University of New Orleans,Astronomy,3,0.28716471704806495,0.2971260365594513
in get diff dist
a,approx,5,difference,0,They study a humanity,0.1610768436499311,0.6313131313131313,outdoor,Nancy,University of New Orleans,German,0,0.22742051319347178,0.25293781708508334
a,approx,5,difference,0,They study a humanity,0.13387260293362221,0.13829022924021464,indoor,Sally,University of New Orleans,German,1,0.2566379428377832,0.2765903852330154
