speaker,cg,generation,sampler,sampled_w_idx,selected_u,listener_belief,speaker_belief,location_pref,name,school/company,major,w_idx,cg_listener_prob,cg_speaker_prob
n/a,approx,0,difference,-1,undefined,0.25,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.25,0.25
n/a,approx,0,difference,-1,undefined,0.25,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.25,0.25
n/a,approx,0,difference,-1,undefined,0.25,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.25,0.25
n/a,approx,0,difference,-1,undefined,0.25,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.25,0.25
in get diff dist
a,approx,1,difference,3,They study a science,0.23809523809523808,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.23809523809523808,0.23809523809523808
a,approx,1,difference,3,They study a science,0.23809523809523808,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.23809523809523808,0.23809523809523808
a,approx,1,difference,3,They study a science,0.2619047619047619,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.2619047619047619,0.2619047619047619
a,approx,1,difference,3,They study a science,0.2619047619047619,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.2619047619047619,0.2619047619047619
in get diff dist
b,approx,2,difference,0,They study a humanity,0.7713498622589532,0.23809523809523808,outdoor,Nancy,University of New Orleans,German,0,0.3499278499278499,0.28174603174603174
b,approx,2,difference,0,They study a humanity,0.07713498622589532,0.23809523809523808,indoor,Sally,University of New Orleans,German,1,0.21356421356421357,0.28174603174603174
b,approx,2,difference,0,They study a humanity,0.07575757575757576,0.2619047619047619,outdoor,Katie,University of New Orleans,Astronomy,2,0.21825396825396826,0.21825396825396828
b,approx,2,difference,0,They study a humanity,0.07575757575757576,0.2619047619047619,indoor,Ina,University of New Orleans,Astronomy,3,0.21825396825396826,0.21825396825396828
in get diff dist
a,approx,3,difference,2,They study a science,0.19841269841269843,0.7713498622589532,outdoor,Nancy,University of New Orleans,German,0,0.23478835978835977,0.2916065416065416
a,approx,3,difference,2,They study a science,0.19841269841269843,0.07713498622589532,indoor,Sally,University of New Orleans,German,1,0.23478835978835977,0.177970177970178
a,approx,3,difference,2,They study a science,0.3015873015873016,0.07575757575757576,outdoor,Katie,University of New Orleans,Astronomy,2,0.26521164021164023,0.2695574362824659
a,approx,3,difference,2,They study a science,0.3015873015873016,0.07575757575757576,indoor,Ina,University of New Orleans,Astronomy,3,0.26521164021164023,0.26086584414081454
in get diff dist
b,approx,4,difference,1,They study a humanity,0.7955824814604906,0.19841269841269843,outdoor,Nancy,University of New Orleans,German,0,0.3957963809168142,0.27899029982363316
b,approx,4,difference,1,They study a humanity,0.07815489227688319,0.19841269841269843,indoor,Sally,University of New Orleans,German,1,0.16218421873045205,0.27899029982363316
b,approx,4,difference,1,They study a humanity,0.06313131313131314,0.3015873015873016,outdoor,Katie,University of New Orleans,Astronomy,2,0.2246311969020549,0.22100970017636687
b,approx,4,difference,1,They study a humanity,0.06313131313131314,0.3015873015873016,indoor,Ina,University of New Orleans,Astronomy,3,0.21738820345067875,0.22100970017636687
in get diff dist
a,approx,5,difference,0,They study a humanity,0.2486772486772487,0.7955824814604906,outdoor,Nancy,University of New Orleans,German,0,0.3158252498530276,0.45490476111293054
a,approx,5,difference,0,They study a humanity,0.2486772486772487,0.07815489227688319,indoor,Sally,University of New Orleans,German,1,0.3158252498530276,0.17674573859312467
