speaker,cg,generation,sampler,sampled_w_idx,selected_u,listener_belief,speaker_belief,location_pref,name,school/company,major,w_idx,cg_listener_prob,cg_speaker_prob
n/a,approx,0,difference_thresh,-1,undefined,0.07692307692307693,0.3684210526315789,outdoor,Nancy,University of New Orleans,German,0,0.25,0.25
n/a,approx,0,difference_thresh,-1,undefined,0.07692307692307693,0.05263157894736842,indoor,Sally,University of New Orleans,German,1,0.25,0.25
n/a,approx,0,difference_thresh,-1,undefined,0.7692307692307693,0.5263157894736842,outdoor,Katie,University of New Orleans,Astronomy,2,0.25,0.25
n/a,approx,0,difference_thresh,-1,undefined,0.07692307692307693,0.05263157894736842,indoor,Ina,University of New Orleans,Astronomy,3,0.25,0.25
in get diff dist
a,approx,1,difference_thresh,1,They study a humanity,0.07692307692307693,0.3684210526315789,outdoor,Nancy,University of New Orleans,German,0,0.2619047619047619,0.2619047619047619
a,approx,1,difference_thresh,1,They study a humanity,0.07692307692307693,0.05263157894736842,indoor,Sally,University of New Orleans,German,1,0.2619047619047619,0.2619047619047619
a,approx,1,difference_thresh,1,They study a humanity,0.7692307692307693,0.5263157894736842,outdoor,Katie,University of New Orleans,Astronomy,2,0.23809523809523808,0.23809523809523808
a,approx,1,difference_thresh,1,They study a humanity,0.07692307692307693,0.05263157894736842,indoor,Ina,University of New Orleans,Astronomy,3,0.23809523809523808,0.23809523809523808
b,approx,2,difference_thresh,2,They study a science,0.3684210526315789,0.07692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.21825396825396828,0.21825396825396828
b,approx,2,difference_thresh,2,They study a science,0.05263157894736842,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.21825396825396828,0.21825396825396828
b,approx,2,difference_thresh,2,They study a science,0.5263157894736842,0.7692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.3499278499278499,0.28174603174603174
b,approx,2,difference_thresh,2,They study a science,0.05263157894736842,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.21356421356421357,0.28174603174603174
in get diff dist
a,approx,3,difference_thresh,2,They study a science,0.07692307692307693,0.3684210526315789,outdoor,Nancy,University of New Orleans,German,0,0.1818783068783069,0.1818783068783069
a,approx,3,difference_thresh,2,They study a science,0.07692307692307693,0.05263157894736842,indoor,Sally,University of New Orleans,German,1,0.1818783068783069,0.1818783068783069
a,approx,3,difference_thresh,2,They study a science,0.7692307692307693,0.5263157894736842,outdoor,Katie,University of New Orleans,Astronomy,2,0.38630351130351115,0.3995740806278549
a,approx,3,difference_thresh,2,They study a science,0.07692307692307693,0.05263157894736842,indoor,Ina,University of New Orleans,Astronomy,3,0.2499398749398749,0.2366693056155312
b,approx,4,difference_thresh,2,They like being outdoors,0.3684210526315789,0.07692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.21065659579638882,0.19659493837736852
b,approx,4,difference_thresh,2,They like being outdoors,0.05263157894736842,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.15156525573192242,0.15156525573192245
b,approx,4,difference_thresh,2,They like being outdoors,0.5263157894736842,0.7692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.4405537271254127,0.44355657677414667
b,approx,4,difference_thresh,2,They like being outdoors,0.05263157894736842,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.19722442134627602,0.2082832291165625
in get diff dist
a,approx,5,difference_thresh,3,They like being indoors,0.07692307692307693,0.3684210526315789,outdoor,Nancy,University of New Orleans,German,0,0.16382911531447372,0.17554716316365734
a,approx,5,difference_thresh,3,They like being indoors,0.07692307692307693,0.05263157894736842,indoor,Sally,University of New Orleans,German,1,0.20031743796496923,0.19073328429692787
a,approx,5,difference_thresh,3,They like being indoors,0.7692307692307693,0.5263157894736842,outdoor,Katie,University of New Orleans,Astronomy,2,0.36963048064512216,0.3671281059378439
a,approx,5,difference_thresh,3,They like being indoors,0.07692307692307693,0.05263157894736842,indoor,Ina,University of New Orleans,Astronomy,3,0.2662229660754349,0.26659144660157086
b,approx,6,difference_thresh,2,They like being outdoors,0.3684210526315789,0.07692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.20579402459567836,0.17979723557610075
b,approx,6,difference_thresh,2,They like being outdoors,0.05263157894736842,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.15894440358077325,0.16693119830414105
b,approx,6,difference_thresh,2,They like being outdoors,0.5263157894736842,0.7692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.413102032988906,0.4314190943902292
b,approx,6,difference_thresh,2,They like being outdoors,0.05263157894736842,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.2221595388346424,0.22185247172952907
in get diff dist
a,approx,7,difference_thresh,3,They like being indoors,0.07692307692307693,0.3684210526315789,outdoor,Nancy,University of New Orleans,German,0,0.1498310296467506,0.17149502049639864
a,approx,7,difference_thresh,3,They like being indoors,0.07692307692307693,0.05263157894736842,indoor,Sally,University of New Orleans,German,1,0.21268596798981984,0.1939167040686401
a,approx,7,difference_thresh,3,They like being indoors,0.7692307692307693,0.5263157894736842,outdoor,Katie,University of New Orleans,Astronomy,2,0.3595159119918576,0.3442516941574217
a,approx,7,difference_thresh,3,They like being indoors,0.07692307692307693,0.05263157894736842,indoor,Ina,University of New Orleans,Astronomy,3,0.27796709037157186,0.2903365812775396
b,approx,8,difference_thresh,2,They like being outdoors,0.3684210526315789,0.07692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.20252406196723235,0.16622149710746553
b,approx,8,difference_thresh,2,They like being outdoors,0.05263157894736842,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.1615972533905334,0.17723830665818321
b,approx,8,difference_thresh,2,They like being outdoors,0.5263157894736842,0.7692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.39393153357761795,0.42490095425804125
b,approx,8,difference_thresh,2,They like being outdoors,0.05263157894736842,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.24194715106461634,0.2316392419763099
undefined
