speaker,cg,generation,sampler,sampled_w_idx,selected_u,listener_belief,speaker_belief,location_pref,name,school/company,major,w_idx,cg_listener_prob,cg_speaker_prob
n/a,approx,0,difference_thresh,-1,undefined,0.05555555555555555,0.2413793103448276,outdoor,Nancy,University of New Orleans,German,0,0.25,0.25
n/a,approx,0,difference_thresh,-1,undefined,0.05555555555555555,0.034482758620689655,indoor,Sally,University of New Orleans,German,1,0.25,0.25
n/a,approx,0,difference_thresh,-1,undefined,0.8333333333333334,0.6896551724137931,outdoor,Katie,University of New Orleans,Astronomy,2,0.25,0.25
n/a,approx,0,difference_thresh,-1,undefined,0.05555555555555555,0.034482758620689655,indoor,Ina,University of New Orleans,Astronomy,3,0.25,0.25
a,approx,1,difference_thresh,2,They study a science,0.05555555555555555,0.2413793103448276,outdoor,Nancy,University of New Orleans,German,0,0.23809523809523808,0.23809523809523808
a,approx,1,difference_thresh,2,They study a science,0.05555555555555555,0.034482758620689655,indoor,Sally,University of New Orleans,German,1,0.23809523809523808,0.23809523809523808
a,approx,1,difference_thresh,2,They study a science,0.8333333333333334,0.6896551724137931,outdoor,Katie,University of New Orleans,Astronomy,2,0.28273809523809523,0.2619047619047619
a,approx,1,difference_thresh,2,They study a science,0.05555555555555555,0.034482758620689655,indoor,Ina,University of New Orleans,Astronomy,3,0.24107142857142855,0.2619047619047619
b,approx,2,difference_thresh,2,They like being outdoors,0.2413793103448276,0.05555555555555555,outdoor,Nancy,University of New Orleans,German,0,0.2404126984126984,0.27300241634926486
b,approx,2,difference_thresh,2,They like being outdoors,0.034482758620689655,0.05555555555555555,indoor,Sally,University of New Orleans,German,1,0.19841269841269843,0.1984126984126984
b,approx,2,difference_thresh,2,They like being outdoors,0.6896551724137931,0.8333333333333334,outdoor,Katie,University of New Orleans,Astronomy,2,0.34292063492063496,0.3276920280951796
b,approx,2,difference_thresh,2,They like being outdoors,0.034482758620689655,0.05555555555555555,indoor,Ina,University of New Orleans,Astronomy,3,0.21825396825396828,0.20089285714285712
a,approx,3,difference_thresh,2,They study a science,0.05555555555555555,0.2413793103448276,outdoor,Nancy,University of New Orleans,German,0,0.2275020136243874,0.20034391534391532
a,approx,3,difference_thresh,2,They study a science,0.05555555555555555,0.034482758620689655,indoor,Sally,University of New Orleans,German,1,0.16534391534391535,0.16534391534391535
a,approx,3,difference_thresh,2,They study a science,0.8333333333333334,0.6896551724137931,outdoor,Katie,University of New Orleans,Astronomy,2,0.4308610710637468,0.3931391840873399
a,approx,3,difference_thresh,2,They study a science,0.05555555555555555,0.034482758620689655,indoor,Ina,University of New Orleans,Astronomy,3,0.17629299996795048,0.2411729852248295
b,approx,4,difference_thresh,2,They study a science,0.2413793103448276,0.05555555555555555,outdoor,Nancy,University of New Orleans,German,0,0.1669532627865961,0.18958501135365613
b,approx,4,difference_thresh,2,They study a science,0.034482758620689655,0.05555555555555555,indoor,Sally,University of New Orleans,German,1,0.13778659611992947,0.13778659611992944
b,approx,4,difference_thresh,2,They study a science,0.6896551724137931,0.8333333333333334,outdoor,Katie,University of New Orleans,Astronomy,2,0.48751776624819987,0.48668668299845474
b,approx,4,difference_thresh,2,They study a science,0.034482758620689655,0.05555555555555555,indoor,Ina,University of New Orleans,Astronomy,3,0.2077423748452747,0.1859417095279596
a,approx,5,difference_thresh,2,They like being outdoors,0.05555555555555555,0.2413793103448276,outdoor,Nancy,University of New Orleans,German,0,0.16558709134069552,0.17071078636829232
a,approx,5,difference_thresh,2,They like being outdoors,0.05555555555555555,0.034482758620689655,indoor,Sally,University of New Orleans,German,1,0.11482216343327453,0.11482216343327453
a,approx,5,difference_thresh,2,They like being outdoors,0.8333333333333334,0.6896551724137931,outdoor,Katie,University of New Orleans,Astronomy,2,0.5646393206193969,0.5413484044940375
a,approx,5,difference_thresh,2,They like being outdoors,0.05555555555555555,0.034482758620689655,indoor,Ina,University of New Orleans,Astronomy,3,0.154951424606633,0.17311864570439556
b,approx,6,difference_thresh,2,They study a science,0.2413793103448276,0.05555555555555555,outdoor,Nancy,University of New Orleans,German,0,0.1422589886402436,0.13798924278391295
