speaker,cg,generation,sampler,sampled_w_idx,selected_u,listener_belief,speaker_belief,location_pref,name,school/company,major,w_idx,cg_listener_prob,cg_speaker_prob
n/a,approx,0,weighted,-1,undefined,0.07692307692307693,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.25,0.25
n/a,approx,0,weighted,-1,undefined,0.07692307692307693,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.25,0.25
n/a,approx,0,weighted,-1,undefined,0.7692307692307693,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.25,0.25
n/a,approx,0,weighted,-1,undefined,0.07692307692307693,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.25,0.25
a,approx,1,weighted,0,They study a humanity,0.07692307692307693,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.2619047619047619,0.2619047619047619
a,approx,1,weighted,0,They study a humanity,0.07692307692307693,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.2619047619047619,0.2619047619047619
a,approx,1,weighted,0,They study a humanity,0.7692307692307693,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.23809523809523808,0.23809523809523808
a,approx,1,weighted,0,They study a humanity,0.07692307692307693,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.23809523809523808,0.23809523809523808
b,approx,2,weighted,2,They study a science,0.7692307692307693,0.07692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.21825396825396828,0.21825396825396828
b,approx,2,weighted,2,They study a science,0.07692307692307693,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.21825396825396828,0.21825396825396828
b,approx,2,weighted,2,They study a science,0.07692307692307693,0.7692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.28174603174603174,0.28174603174603174
b,approx,2,weighted,2,They study a science,0.07692307692307693,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.28174603174603174,0.28174603174603174
a,approx,3,weighted,0,They study a humanity,0.07692307692307693,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.26521164021164023,0.26521164021164023
a,approx,3,weighted,0,They study a humanity,0.07692307692307693,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.26521164021164023,0.26521164021164023
a,approx,3,weighted,0,They study a humanity,0.7692307692307693,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.2347883597883598,0.2347883597883598
a,approx,3,weighted,0,They study a humanity,0.07692307692307693,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.2347883597883598,0.2347883597883598
b,approx,4,weighted,2,They study a science,0.7692307692307693,0.07692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.22100970017636687,0.22100970017636687
b,approx,4,weighted,2,They study a science,0.07692307692307693,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.22100970017636687,0.22100970017636687
b,approx,4,weighted,2,They study a science,0.07692307692307693,0.7692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.27899029982363316,0.27899029982363316
b,approx,4,weighted,2,They study a science,0.07692307692307693,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.27899029982363316,0.27899029982363316
a,approx,5,weighted,3,They like being indoors,0.07692307692307693,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.18417475014697235,0.18417475014697238
a,approx,5,weighted,3,They like being indoors,0.07692307692307693,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.2636112698997611,0.25402097116763506
a,approx,5,weighted,3,They like being indoors,0.7692307692307693,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.23249191651969425,0.23249191651969428
a,approx,5,weighted,3,They like being indoors,0.07692307692307693,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.3197220634335723,0.3293123621656983
b,approx,6,weighted,2,They like being outdoors,0.7692307692307693,0.07692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.3036706205482961,0.22396152447040593
b,approx,6,weighted,2,They like being outdoors,0.07692307692307693,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.21168414263969582,0.2196760582498009
b,approx,6,weighted,2,They like being outdoors,0.07692307692307693,0.7692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.21021826834059276,0.28992736441848294
b,approx,6,weighted,2,They like being outdoors,0.07692307692307693,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.27442696847141523,0.26643505286131025
a,approx,7,weighted,3,They study a science,0.07692307692307693,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.18663460372533827,0.2530588504569134
a,approx,7,weighted,3,They study a science,0.07692307692307693,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.1830633818748341,0.17640345219974654
a,approx,7,weighted,3,They study a science,0.7692307692307693,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.39343745367624333,0.24837474313465624
a,approx,7,weighted,3,They study a science,0.07692307692307693,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.2368645607235844,0.3221629542086838
b,approx,8,weighted,2,They like being outdoors,0.7692307692307693,0.07692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.36074510000528237,0.2011283574943195
b,approx,8,weighted,2,They like being outdoors,0.07692307692307693,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.14700287683312213,0.15255281822902841
b,approx,8,weighted,2,They like being outdoors,0.07692307692307693,0.7692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.22378289465435905,0.44893169034033187
b,approx,8,weighted,2,They like being outdoors,0.07692307692307693,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.26846912850723653,0.19738713393632035
undefined
