speaker,cg,generation,sampler,sampled_w_idx,selected_u,listener_belief,speaker_belief,location_pref,name,school/company,major,w_idx,cg_listener_prob,cg_speaker_prob
n/a,approx,0,weighted,-1,undefined,0.07692307692307693,0.3684210526315789,outdoor,Nancy,University of New Orleans,German,0,0.25,0.25
n/a,approx,0,weighted,-1,undefined,0.07692307692307693,0.05263157894736842,indoor,Sally,University of New Orleans,German,1,0.25,0.25
n/a,approx,0,weighted,-1,undefined,0.7692307692307693,0.5263157894736842,outdoor,Katie,University of New Orleans,Astronomy,2,0.25,0.25
n/a,approx,0,weighted,-1,undefined,0.07692307692307693,0.05263157894736842,indoor,Ina,University of New Orleans,Astronomy,3,0.25,0.25
a,approx,1,weighted,2,They study a science,0.07575757575757576,0.3684210526315789,outdoor,Nancy,University of New Orleans,German,0,0.23809523809523808,0.23809523809523808
a,approx,1,weighted,2,They study a science,0.07575757575757576,0.05263157894736842,indoor,Sally,University of New Orleans,German,1,0.23809523809523808,0.23809523809523808
a,approx,1,weighted,2,They study a science,0.7713498622589532,0.5263157894736842,outdoor,Katie,University of New Orleans,Astronomy,2,0.2813852813852814,0.2619047619047619
a,approx,1,weighted,2,They study a science,0.07713498622589532,0.05263157894736842,indoor,Ina,University of New Orleans,Astronomy,3,0.24242424242424238,0.2619047619047619
b,approx,2,weighted,2,They like being outdoors,0.3687766240681576,0.07575757575757576,outdoor,Nancy,University of New Orleans,German,0,0.2655053501698869,0.27320172794856346
b,approx,2,weighted,2,They like being outdoors,0.05208333333333333,0.07575757575757576,indoor,Sally,University of New Orleans,German,1,0.1984126984126984,0.1984126984126984
b,approx,2,weighted,2,They like being outdoors,0.5270567092651757,0.7713498622589532,outdoor,Katie,University of New Orleans,Astronomy,2,0.31782798316344646,0.32636537161853624
b,approx,2,weighted,2,They like being outdoors,0.05208333333333333,0.07713498622589532,indoor,Ina,University of New Orleans,Astronomy,3,0.21825396825396826,0.202020202020202
a,approx,3,weighted,2,They study a science,0.06313131313131314,0.3687766240681576,outdoor,Nancy,University of New Orleans,German,0,0.22766810662380285,0.22125445847490577
a,approx,3,weighted,2,They study a science,0.06313131313131314,0.05208333333333333,indoor,Sally,University of New Orleans,German,1,0.16534391534391532,0.16534391534391535
a,approx,3,weighted,2,They study a science,0.7964564297595518,0.5270567092651757,outdoor,Katie,University of New Orleans,Astronomy,2,0.42563602089253755,0.3692010471534593
a,approx,3,weighted,2,They study a science,0.07728094397782204,0.05208333333333333,indoor,Ina,University of New Orleans,Astronomy,3,0.18135195713974422,0.2442005790277197
b,approx,4,weighted,2,They study a science,0.30731385339013134,0.06313131313131314,outdoor,Nancy,University of New Orleans,German,0,0.1843787153957548,0.1897234221865024
b,approx,4,weighted,2,They study a science,0.043402777777777776,0.06313131313131314,indoor,Sally,University of New Orleans,German,1,0.13778659611992944,0.13778659611992947
b,approx,4,weighted,2,They study a science,0.5929309784276882,0.7964564297595518,outdoor,Katie,University of New Orleans,Astronomy,2,0.4613845933345911,0.4807864945902219
b,approx,4,weighted,2,They study a science,0.05635239040440269,0.07728094397782204,indoor,Ina,University of New Orleans,Astronomy,3,0.21645009514972463,0.1917034871033463
a,approx,5,weighted,2,They like being outdoors,0.06157827987510015,0.30731385339013134,outdoor,Nancy,University of New Orleans,German,0,0.16707170408775784,0.19056088879418592
a,approx,5,weighted,2,They like being outdoors,0.052609427609427606,0.043402777777777776,indoor,Sally,University of New Orleans,German,1,0.11482216343327453,0.11482216343327453
a,approx,5,weighted,2,They like being outdoors,0.8214115058672872,0.5929309784276882,outdoor,Katie,University of New Orleans,Astronomy,2,0.5583532265595124,0.5142418684811023
