speaker,cg,generation,sampler,sampled_w_idx,selected_u,listener_belief,speaker_belief,location_pref,name,school/company,major,w_idx,cg_listener_prob,cg_speaker_prob
n/a,approx,0,weighted,-1,undefined,0.07692307692307693,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.25,0.25
n/a,approx,0,weighted,-1,undefined,0.07692307692307693,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.25,0.25
n/a,approx,0,weighted,-1,undefined,0.7692307692307693,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.25,0.25
n/a,approx,0,weighted,-1,undefined,0.07692307692307693,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.25,0.25
a,approx,1,weighted,0,They study a humanity,0.08333333333333334,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.2619047619047619,0.2619047619047619
a,approx,1,weighted,0,They study a humanity,0.08333333333333334,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.2619047619047619,0.2619047619047619
a,approx,1,weighted,0,They study a humanity,0.7575757575757576,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.23809523809523808,0.23809523809523808
a,approx,1,weighted,0,They study a humanity,0.07575757575757576,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.23809523809523808,0.23809523809523808
b,approx,2,weighted,2,They study a science,0.7575757575757576,0.08333333333333334,outdoor,Nancy,University of New Orleans,German,0,0.21825396825396828,0.21825396825396828
b,approx,2,weighted,2,They study a science,0.07575757575757576,0.08333333333333334,indoor,Sally,University of New Orleans,German,1,0.21825396825396828,0.21825396825396828
b,approx,2,weighted,2,They study a science,0.08333333333333334,0.7575757575757576,outdoor,Katie,University of New Orleans,Astronomy,2,0.28174603174603174,0.28174603174603174
b,approx,2,weighted,2,They study a science,0.08333333333333334,0.07575757575757576,indoor,Ina,University of New Orleans,Astronomy,3,0.28174603174603174,0.28174603174603174
a,approx,3,weighted,2,They like being outdoors,0.08449489145581952,0.7575757575757576,outdoor,Nancy,University of New Orleans,German,0,0.19692875388968192,0.25045160512907344
a,approx,3,weighted,2,They like being outdoors,0.06944444444444446,0.07575757575757576,indoor,Sally,University of New Orleans,German,1,0.1818783068783069,0.1818783068783069
a,approx,3,weighted,2,They like being outdoors,0.782929350968423,0.08333333333333334,outdoor,Katie,University of New Orleans,Astronomy,2,0.3864045794436513,0.3328817282042599
a,approx,3,weighted,2,They like being outdoors,0.06313131313131314,0.08333333333333334,indoor,Ina,University of New Orleans,Astronomy,3,0.23478835978835974,0.23478835978835974
b,approx,4,weighted,2,They like being outdoors,0.77965209689597,0.08449489145581952,outdoor,Nancy,University of New Orleans,German,0,0.3570486365237332,0.2127042888493604
b,approx,4,weighted,2,They like being outdoors,0.06313131313131314,0.06944444444444446,indoor,Sally,University of New Orleans,German,1,0.15156525573192242,0.15156525573192242
b,approx,4,weighted,2,They like being outdoors,0.08777214552827246,0.782929350968423,outdoor,Katie,University of New Orleans,Astronomy,2,0.2957291412540446,0.4400734889284173
b,approx,4,weighted,2,They like being outdoors,0.06944444444444446,0.06313131313131314,indoor,Ina,University of New Orleans,Astronomy,3,0.1956569664902998,0.1956569664902998
a,approx,5,weighted,0,They study a humanity,0.17113903358608648,0.77965209689597,outdoor,Nancy,University of New Orleans,German,0,0.2779801980807039,0.4231741747073214
a,approx,5,weighted,0,They study a humanity,0.12381041299746684,0.06313131313131314,indoor,Sally,University of New Orleans,German,1,0.19224442240369846,0.1673374021723916
a,approx,5,weighted,0,They study a humanity,0.6524411258070191,0.08777214552827246,outdoor,Katie,University of New Orleans,Astronomy,2,0.3667279074403478,0.24644095104503713
a,approx,5,weighted,0,They study a humanity,0.052609427609427606,0.06944444444444446,indoor,Ina,University of New Orleans,Astronomy,3,0.16304747207524983,0.1630474720752498
b,approx,6,weighted,2,They study a science,0.6497100807466417,0.17113903358608648,outdoor,Nancy,University of New Orleans,German,0,0.3526451455894345,0.23165016506725325
b,approx,6,weighted,2,They study a science,0.05260942760942761,0.12381041299746684,indoor,Sally,University of New Orleans,German,1,0.13944783514365966,0.16020368533641538
b,approx,6,weighted,2,They study a science,0.1770732927954223,0.6524411258070191,outdoor,Katie,University of New Orleans,Astronomy,2,0.30929729739272627,0.4294224110455129
b,approx,6,weighted,2,They study a science,0.12060719884850843,0.052609427609427606,indoor,Ina,University of New Orleans,Astronomy,3,0.19860972187417958,0.1787237385508185
a,approx,7,weighted,3,They like being indoors,0.14261586132173873,0.6497100807466417,outdoor,Nancy,University of New Orleans,German,0,0.19304180422271106,0.2938709546578621
a,approx,7,weighted,3,They like being indoors,0.2147436989882282,0.05260942760942761,indoor,Sally,University of New Orleans,German,1,0.245071425937352,0.18452758753184104
a,approx,7,weighted,3,They like being indoors,0.543700938172516,0.1770732927954223,outdoor,Katie,University of New Orleans,Astronomy,2,0.3578520092045941,0.2577477478272719
a,approx,7,weighted,3,They like being indoors,0.09893950151751718,0.12060719884850843,indoor,Ina,University of New Orleans,Astronomy,3,0.20403476063534293,0.26385370998302504
b,approx,8,weighted,2,They like being outdoors,0.671377761452906,0.14261586132173873,outdoor,Nancy,University of New Orleans,German,0,0.374845156378923,0.2153950079701843
b,approx,8,weighted,2,They like being outdoors,0.04384118967452301,0.2147436989882282,indoor,Sally,University of New Orleans,German,1,0.15377298960986752,0.20422618828112665
b,approx,8,weighted,2,They like being outdoors,0.18427504983214732,0.543700938172516,outdoor,Katie,University of New Orleans,Astronomy,2,0.25150376235868865,0.4103498365525699
b,approx,8,weighted,2,They like being outdoors,0.10050599904042368,0.09893950151751718,indoor,Ina,University of New Orleans,Astronomy,3,0.21987809165252084,0.17002896719611907
undefined
