speaker,cg,generation,sampler,sampled_w_idx,selected_u,listener_belief,speaker_belief,location_pref,name,school/company,major,w_idx,cg_listener_prob,cg_speaker_prob
n/a,approx,0,weighted,-1,undefined,0.25,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.25,0.25
n/a,approx,0,weighted,-1,undefined,0.25,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.25,0.25
n/a,approx,0,weighted,-1,undefined,0.25,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.25,0.25
n/a,approx,0,weighted,-1,undefined,0.25,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.25,0.25
a,approx,1,weighted,0,They study a humanity,0.25609756097560976,0.7692307692307693,outdoor,Nancy,University of New Orleans,German,0,0.25609756097560976,0.2619047619047619
a,approx,1,weighted,0,They study a humanity,0.25609756097560976,0.07692307692307693,indoor,Sally,University of New Orleans,German,1,0.25609756097560976,0.2619047619047619
a,approx,1,weighted,0,They study a humanity,0.24390243902439027,0.07692307692307693,outdoor,Katie,University of New Orleans,Astronomy,2,0.24390243902439027,0.23809523809523808
a,approx,1,weighted,0,They study a humanity,0.24390243902439027,0.07692307692307693,indoor,Ina,University of New Orleans,Astronomy,3,0.24390243902439027,0.23809523809523808
b,approx,2,weighted,3,They study a science,0.7633587786259542,0.25609756097560976,outdoor,Nancy,University of New Orleans,German,0,0.23809523809523814,0.21341463414634146
b,approx,2,weighted,3,They study a science,0.07633587786259542,0.25609756097560976,indoor,Sally,University of New Orleans,German,1,0.23809523809523814,0.21341463414634146
b,approx,2,weighted,3,They study a science,0.0801526717557252,0.24390243902439027,outdoor,Katie,University of New Orleans,Astronomy,2,0.2619047619047619,0.28658536585365857
b,approx,2,weighted,3,They study a science,0.0801526717557252,0.24390243902439027,indoor,Ina,University of New Orleans,Astronomy,3,0.2619047619047619,0.28658536585365857
a,approx,3,weighted,0,They study a humanity,0.27827050997782704,0.7633587786259542,outdoor,Nancy,University of New Orleans,German,0,0.23946784922394676,0.2817460317460318
a,approx,3,weighted,0,They study a humanity,0.27827050997782704,0.07633587786259542,indoor,Sally,University of New Orleans,German,1,0.23946784922394676,0.2817460317460318
a,approx,3,weighted,0,They study a humanity,0.22172949002217296,0.0801526717557252,outdoor,Katie,University of New Orleans,Astronomy,2,0.26053215077605324,0.21825396825396826
a,approx,3,weighted,0,They study a humanity,0.22172949002217296,0.0801526717557252,indoor,Ina,University of New Orleans,Astronomy,3,0.26053215077605324,0.21825396825396826
